game_id,team_id,team_city,team_name,team_tricode,team_slug,person_id,first_name,family_name,name_i,player_slug,position,comment,jersey_num,minutes,field_goals_made,field_goals_attempted,field_goals_percentage,three_pointers_made,three_pointers_attempted,three_pointers_percentage,free_throws_made,free_throws_attempted,free_throws_percentage,rebounds_offensive,rebounds_defensive,rebounds_total,assists,steals,blocks,turnovers,fouls_personal,points,plus_minus_points
0022500568,1610612760,Oklahoma City,Thunder,OKC,thunder,1630598,Aaron,Wiggins,A. Wiggins,aaron-wiggins,F,,,26:20,2,6,0.333,1,5,0.2,0,0,0.0,0,5,5,4,0,2,1,0,5,15.0
0022500568,1610612760,Oklahoma City,Thunder,OKC,thunder,1631114,Jalen,Williams,J. Williams,jalen-williams,F,,,30:24,9,15,0.6,0,0,0.0,2,2,1.0,0,0,0,3,2,0,3,2,20,4.0
0022500568,1610612760,Oklahoma City,Thunder,OKC,thunder,1631096,Chet,Holmgren,C. Holmgren,chet-holmgren,C,,,25:10,1,4,0.25,0,2,0.0,6,6,1.0,1,9,10,0,0,3,1,3,8,-9.0
0022500568,1610612760,Oklahoma City,Thunder,OKC,thunder,1641717,Cason,Wallace,C. Wallace,cason-wallace,G,,,23:00,2,3,0.667,2,3,0.667,0,0,0.0,0,1,1,1,3,0,0,3,6,4.0
0022500568,1610612760,Oklahoma City,Thunder,OKC,thunder,1628983,Shai,Gilgeous-Alexander,S. Gilgeous-Alexander,shai-gilgeous-alexander,G,,,33:40,11,23,0.478,1,4,0.25,11,13,0.846,0,5,5,5,0,4,2,2,34,29.0
0022500568,1610612760,Oklahoma City,Thunder,OKC,thunder,1627936,Alex,Caruso,A. Caruso,alex-caruso,,,,19:56,5,8,0.625,2,4,0.5,1,1,1.0,0,2,2,4,1,0,0,2,13,27.0
0022500568,1610612760,Oklahoma City,Thunder,OKC,thunder,1631119,Jaylin,Williams,J. Williams,jaylin-williams,,,,22:50,4,10,0.4,2,7,0.286,1,2,0.5,2,8,10,5,0,2,0,3,11,30.0
0022500568,1610612760,Oklahoma City,Thunder,OKC,thunder,1642349,Ajay,Mitchell,A. Mitchell,ajay-mitchell,,,,30:10,4,8,0.5,0,2,0.0,3,3,1.0,2,4,6,4,1,0,3,4,11,4.0
0022500568,1610612760,Oklahoma City,Thunder,OKC,thunder,1629026,Kenrich,Williams,K. Williams,kenrich-williams,,,,14:12,1,1,1.0,1,1,1.0,0,0,0.0,0,2,2,0,0,0,1,3,3,6.0
0022500568,1610612760,Oklahoma City,Thunder,OKC,thunder,1630198,Isaiah,Joe,I. Joe,isaiah-joe,,,,14:18,3,3,1.0,2,2,1.0,0,0,0.0,0,2,2,0,0,0,0,1,8,-5.0
0022500568,1610612760,Oklahoma City,Thunder,OKC,thunder,1631172,Ousmane,Dieng,O. Dieng,ousmane-dieng,,DNP - Coach's Decision,,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0
0022500568,1610612760,Oklahoma City,Thunder,OKC,thunder,1642959,Chris,Youngblood,C. Youngblood,chris-youngblood,,DNP - Coach's Decision,,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0
0022500568,1610612759,San Antonio,Spurs,SAS,spurs,1630577,Julian,Champagnie,J. Champagnie,julian-champagnie,F,,,34:03,4,10,0.4,4,9,0.444,1,3,0.333,1,5,6,1,0,1,0,2,13,-10.0
0022500568,1610612759,San Antonio,Spurs,SAS,spurs,203084,Harrison,Barnes,H. Barnes,harrison-barnes,F,,,23:40,1,7,0.143,0,5,0.0,0,0,0.0,0,0,0,1,0,1,0,2,2,-1.0
0022500568,1610612759,San Antonio,Spurs,SAS,spurs,1641705,Victor,Wembanyama,V. Wembanyama,victor-wembanyama,C,,,27:44,7,15,0.467,0,1,0.0,3,6,0.5,4,3,7,1,0,1,1,2,17,-14.0
0022500568,1610612759,San Antonio,Spurs,SAS,spurs,1642264,Stephon,Castle,S. Castle,stephon-castle,G,,,36:13,6,13,0.462,3,5,0.6,5,7,0.714,0,7,7,8,1,0,5,3,20,-14.0
0022500568,1610612759,San Antonio,Spurs,SAS,spurs,1628368,De'Aaron,Fox,D. Fox,deaaron-fox,G,,,33:40,5,9,0.556,2,5,0.4,2,2,1.0,0,5,5,5,1,0,2,5,14,-12.0
0022500568,1610612759,San Antonio,Spurs,SAS,spurs,1628436,Luke,Kornet,L. Kornet,luke-kornet,,,,20:16,3,7,0.429,0,0,0.0,2,2,1.0,6,2,8,1,2,0,1,3,8,-9.0
0022500568,1610612759,San Antonio,Spurs,SAS,spurs,1629640,Keldon,Johnson,K. Johnson,keldon-johnson,,,,20:18,4,11,0.364,1,5,0.2,0,0,0.0,1,2,3,0,0,0,1,4,9,-16.0
0022500568,1610612759,San Antonio,Spurs,SAS,spurs,1642844,Dylan,Harper,D. Harper,dylan-harper,,,,25:37,3,7,0.429,2,3,0.667,4,4,1.0,0,3,3,3,0,0,1,2,12,-17.0
0022500568,1610612759,San Antonio,Spurs,SAS,spurs,1630322,Lindy,Waters III,L. Waters III,lindy-waters-iii,,,,13:26,1,5,0.2,1,4,0.25,0,0,0.0,0,1,1,1,0,0,0,2,3,-3.0
0022500568,1610612759,San Antonio,Spurs,SAS,spurs,1629162,Jordan,McLaughlin,J. McLaughlin,jordan-mclaughlin,,,,1:41,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-3.0
0022500568,1610612759,San Antonio,Spurs,SAS,spurs,1631110,Jeremy,Sochan,J. Sochan,jeremy-sochan,,,,1:41,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-3.0
0022500568,1610612759,San Antonio,Spurs,SAS,spurs,203482,Kelly,Olynyk,K. Olynyk,kelly-olynyk,,,,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0
0022500568,1610612759,San Antonio,Spurs,SAS,spurs,1642868,Carter,Bryant,C. Bryant,carter-bryant,,,,1:41,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-3.0
0022500568,1610612759,San Antonio,Spurs,SAS,spurs,202687,Bismack,Biyombo,B. Biyombo,bismack-biyombo,,DNP - Coach's Decision,,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0
