game_id,team_id,team_city,team_name,team_tricode,team_slug,person_id,first_name,family_name,name_i,player_slug,position,comment,jersey_num,minutes,field_goals_made,field_goals_attempted,field_goals_percentage,three_pointers_made,three_pointers_attempted,three_pointers_percentage,free_throws_made,free_throws_attempted,free_throws_percentage,rebounds_offensive,rebounds_defensive,rebounds_total,assists,steals,blocks,turnovers,fouls_personal,points,plus_minus_points
0022500493,1610612746,LA,Clippers,LAC,clippers,202695,Kawhi,Leonard,K. Leonard,kawhi-leonard,F,,,34:29,6,17,0.353,2,8,0.25,8,8,1.0,0,3,3,3,3,1,1,2,22,-12.0
0022500493,1610612746,LA,Clippers,LAC,clippers,1628381,John,Collins,J. Collins,john-collins,F,,,28:53,9,10,0.9,3,3,1.0,1,1,1.0,1,1,2,0,0,0,0,3,22,-12.0
0022500493,1610612746,LA,Clippers,LAC,clippers,201572,Brook,Lopez,B. Lopez,brook-lopez,C,,,12:33,2,6,0.333,2,5,0.4,0,0,0.0,0,1,1,0,0,0,1,0,6,-17.0
0022500493,1610612746,LA,Clippers,LAC,clippers,1627739,Kris,Dunn,K. Dunn,kris-dunn,G,,,30:29,4,10,0.4,2,6,0.333,0,0,0.0,2,2,4,6,0,0,0,2,10,-12.0
0022500493,1610612746,LA,Clippers,LAC,clippers,201935,James,Harden,J. Harden,james-harden,G,,,33:50,7,15,0.467,1,6,0.167,3,3,1.0,0,3,3,12,1,0,2,1,18,-24.0
0022500493,1610612746,LA,Clippers,LAC,clippers,1627826,Ivica,Zubac,I. Zubac,ivica-zubac,,,,20:47,2,6,0.333,0,0,0.0,0,0,0.0,3,4,7,1,0,1,0,0,4,-13.0
0022500493,1610612746,LA,Clippers,LAC,clippers,1642920,Kobe,Sanders,K. Sanders,kobe-sanders,,,,14:45,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,4,2,0,-15.0
0022500493,1610612746,LA,Clippers,LAC,clippers,1627884,Derrick,Jones Jr.,D. Jones Jr.,derrick-jones-jr,,,,24:46,8,9,0.889,3,4,0.75,0,1,0.0,1,3,4,2,0,1,1,2,19,-10.0
0022500493,1610612746,LA,Clippers,LAC,clippers,201587,Nicolas,Batum,N. Batum,nicolas-batum,,,,16:16,2,4,0.5,2,4,0.5,0,0,0.0,0,2,2,1,0,1,0,1,6,-12.0
0022500493,1610612746,LA,Clippers,LAC,clippers,1642353,Cam,Christie,C. Christie,cam-christie,,,,5:48,1,3,0.333,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,2,-7.0
0022500493,1610612746,LA,Clippers,LAC,clippers,1642949,Yanic Konan,Niederhäuser,Y. Niederhäuser,yanic-konan-niederhäuser,,,,5:48,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-7.0
0022500493,1610612746,LA,Clippers,LAC,clippers,1641757,Jordan,Miller,J. Miller,jordan-miller,,,,5:48,0,1,0.0,0,0,0.0,2,2,1.0,0,0,0,0,0,0,0,1,2,-7.0
0022500493,1610612746,LA,Clippers,LAC,clippers,1641738,Kobe,Brown,K. Brown,kobe-brown,,,,5:48,1,1,1.0,0,0,0.0,2,2,1.0,1,0,1,1,0,0,0,1,4,-7.0
0022500493,1610612738,Boston,Celtics,BOS,celtics,1627759,Jaylen,Brown,J. Brown,jaylen-brown,F,,,35:08,18,26,0.692,6,10,0.6,8,10,0.8,1,2,3,5,0,0,2,3,50,21.0
0022500493,1610612738,Boston,Celtics,BOS,celtics,1630573,Sam,Hauser,S. Hauser,sam-hauser,F,,,21:22,3,9,0.333,2,8,0.25,0,0,0.0,0,3,3,0,0,1,0,1,8,2.0
0022500493,1610612738,Boston,Celtics,BOS,celtics,1629674,Neemias,Queta,N. Queta,neemias-queta,C,,,22:34,4,8,0.5,0,1,0.0,0,0,0.0,1,8,9,1,0,1,0,3,8,15.0
0022500493,1610612738,Boston,Celtics,BOS,celtics,1628401,Derrick,White,D. White,derrick-white,G,,,37:02,10,20,0.5,5,12,0.417,4,5,0.8,3,1,4,7,1,2,3,2,29,17.0
0022500493,1610612738,Boston,Celtics,BOS,celtics,1630202,Payton,Pritchard,P. Pritchard,payton-pritchard,G,,,39:38,5,10,0.5,2,3,0.667,0,0,0.0,0,4,4,8,1,0,0,2,12,27.0
0022500493,1610612738,Boston,Celtics,BOS,celtics,1629014,Anfernee,Simons,A. Simons,anfernee-simons,,,,18:58,5,8,0.625,5,8,0.625,0,0,0.0,1,2,3,4,0,0,0,0,15,18.0
0022500493,1610612738,Boston,Celtics,BOS,celtics,1642864,Hugo,González,H. González,hugo-gonzález,,,,9:50,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,3,0,9.0
0022500493,1610612738,Boston,Celtics,BOS,celtics,1630568,Luka,Garza,L. Garza,luka-garza,,,,19:49,3,5,0.6,1,2,0.5,4,4,1.0,3,3,6,3,1,1,0,4,11,17.0
0022500493,1610612738,Boston,Celtics,BOS,celtics,1641775,Jordan,Walsh,J. Walsh,jordan-walsh,,,,29:38,5,7,0.714,3,4,0.75,0,0,0.0,6,7,13,2,0,1,1,1,13,24.0
0022500493,1610612738,Boston,Celtics,BOS,celtics,1631248,Baylor,Scheierman,B. Scheierman,baylor-scheierman,,,,3:10,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,4.0
0022500493,1610612738,Boston,Celtics,BOS,celtics,1631169,Josh,Minott,J. Minott,josh-minott,,,,2:51,0,1,0.0,0,1,0.0,0,0,0.0,1,0,1,0,1,0,0,0,0,1.0
