game_id,team_id,team_city,team_name,team_tricode,team_slug,person_id,first_name,family_name,name_i,player_slug,position,comment,jersey_num,minutes,field_goals_made,field_goals_attempted,field_goals_percentage,three_pointers_made,three_pointers_attempted,three_pointers_percentage,free_throws_made,free_throws_attempted,free_throws_percentage,rebounds_offensive,rebounds_defensive,rebounds_total,assists,steals,blocks,turnovers,fouls_personal,points,plus_minus_points
0022500201,1610612748,Miami,Heat,MIA,heat,1641796,Pelle,Larsson,P. Larsson,pelle-larsson,F,,,26:29,4,8,0.5,0,2,0.0,2,3,0.667,1,4,5,4,0,0,3,3,10,-6.0
0022500201,1610612748,Miami,Heat,MIA,heat,203952,Andrew,Wiggins,A. Wiggins,andrew-wiggins,F,,,37:26,8,13,0.615,2,5,0.4,5,6,0.833,1,1,2,5,1,0,2,2,23,0.0
0022500201,1610612748,Miami,Heat,MIA,heat,1642276,Kel'el,Ware,K. Ware,kelel-ware,C,,,33:38,7,14,0.5,0,1,0.0,0,0,0.0,7,13,20,1,1,1,0,2,14,6.0
0022500201,1610612748,Miami,Heat,MIA,heat,1626181,Norman,Powell,N. Powell,norman-powell,G,,,38:34,8,19,0.421,4,9,0.444,13,14,0.929,0,2,2,2,1,1,1,4,33,17.0
0022500201,1610612748,Miami,Heat,MIA,heat,1630558,Davion,Mitchell,D. Mitchell,davion-mitchell,G,,,38:12,4,9,0.444,1,4,0.25,2,2,1.0,0,2,2,8,1,0,5,5,11,12.0
0022500201,1610612748,Miami,Heat,MIA,heat,1631170,Jaime,Jaquez Jr.,J. Jaquez Jr.,jaime-jaquez-jr,,,,33:20,7,12,0.583,0,1,0.0,8,8,1.0,1,12,13,7,1,2,2,2,22,-2.0
0022500201,1610612748,Miami,Heat,MIA,heat,1631107,Nikola,Jović,N. Jović,nikola-jović,,,,26:18,3,10,0.3,1,5,0.2,1,2,0.5,1,7,8,4,0,1,1,5,8,8.0
0022500201,1610612748,Miami,Heat,MIA,heat,1631323,Simone,Fontecchio,S. Fontecchio,simone-fontecchio,,,,16:15,4,9,0.444,3,7,0.429,2,3,0.667,1,3,4,0,0,1,0,2,13,-15.0
0022500201,1610612748,Miami,Heat,MIA,heat,1630696,Dru,Smith,D. Smith,dru-smith,,,,14:48,1,4,0.25,1,2,0.5,3,3,1.0,0,0,0,1,0,0,0,2,6,-10.0
0022500201,1610612748,Miami,Heat,MIA,heat,1642884,Vladislav,Goldin,V. Goldin,vladislav-goldin,,DNP - Coach's Decision,,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0
0022500201,1610612748,Miami,Heat,MIA,heat,1642857,Kasparas,Jakučionis,K. Jakučionis,kasparas-jakučionis,,DNP - Coach's Decision,,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0
0022500201,1610612748,Miami,Heat,MIA,heat,1642352,Keshad,Johnson,K. Johnson,keshad-johnson,,DNP - Coach's Decision,,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0
0022500201,1610612739,Cleveland,Cavaliers,CLE,cavaliers,1629631,De'Andre,Hunter,D. Hunter,deandre-hunter,F,,,35:16,9,19,0.474,2,8,0.25,3,3,1.0,0,4,4,4,1,0,1,5,23,-7.0
0022500201,1610612739,Cleveland,Cavaliers,CLE,cavaliers,1630596,Evan,Mobley,E. Mobley,evan-mobley,F,,,38:43,8,15,0.533,3,4,0.75,2,7,0.286,8,2,10,5,0,1,2,3,21,0.0
0022500201,1610612739,Cleveland,Cavaliers,CLE,cavaliers,1628386,Jarrett,Allen,J. Allen,jarrett-allen,C,,,20:53,6,9,0.667,0,0,0.0,2,3,0.667,3,4,7,2,0,1,3,0,14,8.0
