game_id,team_id,team_city,team_name,team_tricode,team_slug,person_id,first_name,family_name,name_i,player_slug,position,comment,jersey_num,minutes,field_goals_made,field_goals_attempted,field_goals_percentage,three_pointers_made,three_pointers_attempted,three_pointers_percentage,free_throws_made,free_throws_attempted,free_throws_percentage,rebounds_offensive,rebounds_defensive,rebounds_total,assists,steals,blocks,turnovers,fouls_personal,points,plus_minus_points
0022501216,1610612754,Indiana,Pacers,IND,pacers,1631097,Bennedict,Mathurin,B. Mathurin,bennedict-mathurin,F,,,31:39,3,9,0.333,1,5,0.2,8,8,1.0,1,3,4,2,0,0,1,5,15,-21.0
0022501216,1610612754,Indiana,Pacers,IND,pacers,1627783,Pascal,Siakam,P. Siakam,pascal-siakam,F,,,28:40,4,12,0.333,0,2,0.0,3,3,1.0,1,3,4,4,1,0,1,2,11,-12.0
0022501216,1610612754,Indiana,Pacers,IND,pacers,1630643,Jay,Huff,J. Huff,jay-huff,C,,,24:51,5,9,0.556,3,7,0.429,0,0,0.0,0,4,4,0,0,4,0,0,13,-21.0
0022501216,1610612754,Indiana,Pacers,IND,pacers,1630679,Ethan,Thompson,E. Thompson,ethan-thompson,G,,,23:54,0,4,0.0,0,3,0.0,2,2,1.0,0,0,0,2,0,0,0,1,2,-15.0
0022501216,1610612754,Indiana,Pacers,IND,pacers,1629614,Andrew,Nembhard,A. Nembhard,andrew-nembhard,G,,,29:60,3,14,0.214,1,7,0.143,0,0,0.0,2,0,2,6,0,0,0,2,7,-26.0
0022501216,1610612754,Indiana,Pacers,IND,pacers,1641716,Jarace,Walker,J. Walker,jarace-walker,,,,22:12,5,13,0.385,2,6,0.333,0,0,0.0,1,2,3,0,0,1,1,1,12,0.0
0022501216,1610612754,Indiana,Pacers,IND,pacers,1630543,Isaiah,Jackson,I. Jackson,isaiah-jackson,,,,23:09,5,8,0.625,0,0,0.0,1,2,0.5,4,8,12,0,0,2,1,2,11,2.0
0022501216,1610612754,Indiana,Pacers,IND,pacers,1629726,Garrison,Mathews,G. Mathews,garrison-mathews,,,,18:37,2,5,0.4,2,5,0.4,2,2,1.0,0,1,1,2,1,0,0,3,8,7.0
0022501216,1610612754,Indiana,Pacers,IND,pacers,204456,T.J.,McConnell,T. McConnell,tj-mcconnell,,,,15:28,2,4,0.5,0,1,0.0,0,0,0.0,1,3,4,4,0,0,4,0,4,-1.0
0022501216,1610612754,Indiana,Pacers,IND,pacers,1642277,Johnny,Furphy,J. Furphy,johnny-furphy,,,,13:29,2,3,0.667,1,1,1.0,0,2,0.0,1,3,4,0,0,0,0,1,5,-5.0
0022501216,1610612754,Indiana,Pacers,IND,pacers,1631245,Quenton,Jackson,Q. Jackson,quenton-jackson,,,,8:01,0,3,0.0,0,2,0.0,1,2,0.5,0,3,3,0,0,0,0,1,1,-3.0
0022501216,1610612754,Indiana,Pacers,IND,pacers,1628396,Tony,Bradley,T. Bradley,tony-bradley,,DNP - Coach's Decision,,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0
0022501216,1610612764,Washington,Wizards,WAS,wizards,1630551,Justin,Champagnie,J. Champagnie,justin-champagnie,F,,,33:01,6,13,0.462,1,3,0.333,0,0,0.0,3,11,14,0,2,1,0,2,13,23.0
0022501216,1610612764,Washington,Wizards,WAS,wizards,1642273,Kyshawn,George,K. George,kyshawn-george,F,,,35:53,3,11,0.273,2,6,0.333,1,3,0.333,2,6,8,9,1,1,3,4,9,13.0
0022501216,1610612764,Washington,Wizards,WAS,wizards,1628963,Marvin,Bagley III,M. Bagley III,marvin-bagley-iii,C,,,31:58,9,14,0.643,0,0,0.0,5,10,0.5,9,5,14,1,1,1,2,4,23,11.0
0022501216,1610612764,Washington,Wizards,WAS,wizards,203468,CJ,McCollum,C. McCollum,cj-mccollum,G,,,34:08,8,18,0.444,2,3,0.667,0,0,0.0,1,5,6,2,0,0,1,2,18,10.0
0022501216,1610612764,Washington,Wizards,WAS,wizards,1642267,Bub,Carrington,B. Carrington,bub-carrington,G,,,36:19,4,11,0.364,2,7,0.286,1,2,0.5,0,3,3,5,1,0,1,0,11,12.0
0022501216,1610612764,Washington,Wizards,WAS,wizards,1641774,Tristan,Vukcevic,T. Vukcevic,tristan-vukcevic,,,,16:02,2,7,0.286,0,4,0.0,2,3,0.667,0,3,3,0,0,0,2,2,6,8.0
0022501216,1610612764,Washington,Wizards,WAS,wizards,1642848,Tre,Johnson,T. Johnson,tre-johnson,,,,15:39,4,7,0.571,3,4,0.75,3,3,1.0,0,2,2,2,0,0,0,1,14,9.0
0022501216,1610612764,Washington,Wizards,WAS,wizards,1642364,Jamir,Watkins,J. Watkins,jamir-watkins,,,,14:30,1,1,1.0,0,0,0.0,0,0,0.0,1,4,5,0,0,0,1,5,2,-5.0
