game_id,team_id,team_city,team_name,team_tricode,team_slug,person_id,first_name,family_name,name_i,player_slug,position,comment,jersey_num,minutes,field_goals_made,field_goals_attempted,field_goals_percentage,three_pointers_made,three_pointers_attempted,three_pointers_percentage,free_throws_made,free_throws_attempted,free_throws_percentage,rebounds_offensive,rebounds_defensive,rebounds_total,assists,steals,blocks,turnovers,fouls_personal,points,plus_minus_points
0022500563,1610612746,LA,Clippers,LAC,clippers,202695,Kawhi,Leonard,K. Leonard,kawhi-leonard,F,,,30:36,11,19,0.579,5,9,0.556,8,9,0.889,0,5,5,3,0,0,1,0,35,8.0
0022500563,1610612746,LA,Clippers,LAC,clippers,1628381,John,Collins,J. Collins,john-collins,F,,,30:19,1,4,0.25,1,2,0.5,0,0,0.0,2,3,5,1,0,0,1,5,3,16.0
0022500563,1610612746,LA,Clippers,LAC,clippers,1627826,Ivica,Zubac,I. Zubac,ivica-zubac,C,,,27:11,4,6,0.667,0,0,0.0,1,2,0.5,3,8,11,2,0,0,0,2,9,3.0
0022500563,1610612746,LA,Clippers,LAC,clippers,1627739,Kris,Dunn,K. Dunn,kris-dunn,G,,,20:33,0,6,0.0,0,6,0.0,0,0,0.0,1,1,2,0,0,0,0,0,0,7.0
0022500563,1610612746,LA,Clippers,LAC,clippers,201935,James,Harden,J. Harden,james-harden,G,,,37:32,11,28,0.393,3,11,0.273,7,8,0.875,1,3,4,10,4,0,1,2,32,1.0
0022500563,1610612746,LA,Clippers,LAC,clippers,201587,Nicolas,Batum,N. Batum,nicolas-batum,,,,21:57,2,2,1.0,2,2,1.0,1,2,0.5,0,2,2,2,2,0,1,0,7,-3.0
0022500563,1610612746,LA,Clippers,LAC,clippers,1642920,Kobe,Sanders,K. Sanders,kobe-sanders,,,,22:46,3,10,0.3,2,7,0.286,0,0,0.0,1,2,3,1,0,0,0,3,8,6.0
0022500563,1610612746,LA,Clippers,LAC,clippers,201572,Brook,Lopez,B. Lopez,brook-lopez,,,,20:24,3,6,0.5,3,6,0.5,0,0,0.0,0,4,4,1,1,0,1,2,9,7.0
0022500563,1610612746,LA,Clippers,LAC,clippers,1641757,Jordan,Miller,J. Miller,jordan-miller,,,,27:27,6,11,0.545,2,6,0.333,0,0,0.0,1,0,1,2,0,0,0,1,14,1.0
0022500563,1610612746,LA,Clippers,LAC,clippers,1642353,Cam,Christie,C. Christie,cam-christie,,,,0:26,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2.0
0022500563,1610612746,LA,Clippers,LAC,clippers,1642949,Yanic Konan,Niederhäuser,Y. Niederhäuser,yanic-konan-niederhäuser,,,,0:26,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2.0
0022500563,1610612746,LA,Clippers,LAC,clippers,1641738,Kobe,Brown,K. Brown,kobe-brown,,,,0:26,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2.0
0022500563,1610612766,Charlotte,Hornets,CHA,hornets,1642851,Kon,Knueppel,K. Knueppel,kon-knueppel,F,,,35:14,8,12,0.667,0,3,0.0,2,2,1.0,0,5,5,4,0,0,2,1,18,-9.0
0022500563,1610612766,Charlotte,Hornets,CHA,hornets,1628970,Miles,Bridges,M. Bridges,miles-bridges,F,,,34:28,3,10,0.3,1,4,0.25,4,4,1.0,2,4,6,1,0,0,1,3,11,-15.0
0022500563,1610612766,Charlotte,Hornets,CHA,hornets,1631217,Moussa,Diabaté,M. Diabaté,moussa-diabaté,C,,,35:07,6,10,0.6,0,0,0.0,1,2,0.5,5,10,15,4,1,4,1,3,13,-4.0
0022500563,1610612766,Charlotte,Hornets,CHA,hornets,1641706,Brandon,Miller,B. Miller,brandon-miller,G,,,32:52,5,11,0.455,1,3,0.333,2,4,0.5,1,5,6,5,1,0,2,3,13,-7.0
0022500563,1610612766,Charlotte,Hornets,CHA,hornets,1630163,LaMelo,Ball,L. Ball,lamelo-ball,G,,,32:15,11,24,0.458,3,11,0.273,0,0,0.0,2,7,9,5,1,0,3,1,25,-6.0
0022500563,1610612766,Charlotte,Hornets,CHA,hornets,1630182,Josh,Green,J. Green,josh-green,,,,12:51,1,4,0.25,1,4,0.25,0,0,0.0,0,2,2,1,0,0,0,0,3,9.0
0022500563,1610612766,Charlotte,Hornets,CHA,hornets,1641750,Ryan,Kalkbrenner,R. Kalkbrenner,ryan-kalkbrenner,,,,12:53,1,2,0.5,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,2,-4.0
0022500563,1610612766,Charlotte,Hornets,CHA,hornets,1629684,Grant,Williams,G. Williams,grant-williams,,,,13:14,2,3,0.667,1,2,0.5,2,3,0.667,0,2,2,0,0,0,0,0,7,3.0
0022500563,1610612766,Charlotte,Hornets,CHA,hornets,1642883,Sion,James,S. James,sion-james,,,,18:33,2,6,0.333,2,4,0.5,2,2,1.0,0,3,3,3,0,0,1,2,8,-6.0
0022500563,1610612766,Charlotte,Hornets,CHA,hornets,1630544,Tre,Mann,T. Mann,tre-mann,,,,12:33,4,6,0.667,1,2,0.5,0,0,0.0,0,1,1,1,0,0,0,3,9,-1.0
